"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"TimeBin";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"86";11501;"L_7m_ROI";1;0,000232878226064728;-6,72167;-66,9647;36,2929;"L";"First";1,0085887159905;-0,0357668240829152;0;2351,634055116;61
"87";11502;"L_7m_ROI";1;0,000246401651777826;-6,55461;-65,9226;37,3705;"L";"First";1,00857264097342;-0,0276224090596128;0;2408,35495607092;14
"88";11503;"L_7m_ROI";1;0,000259605915881271;-6,41508;-64,8523;38,4352;"L";"First";1,00855332648407;-0,00361908160578759;0;2567,15930470876;4
"89";11504;"L_7m_ROI";1;0,000272039158394769;-6,30411;-63,7571;39,4856;"L";"First";1,00854380581599;0,00358675447190954;1;2526,90347291586;2
"90";11505;"L_7m_ROI";1;0,000284728256882277;-6,22189;-62,6402;40,52;"L";"First";1,00854104058861;-0,00448256685985922;0;2483,37375690234;1
"91";11506;"L_7m_ROI";2;0,000298029669225052;-6,16803;-61,5052;41,5363;"L";"First";1,00852033413297;0,0181255984537075;1;2495,68879430144;2
"92";11518;"L_7m_ROI";1;0,000311271097807446;-6,88839;-67,8322;34,016;"L";"First";1,00851293935191;-0,023233186525655;0;2271,31123265261;2
"93";11519;"L_7m_ROI";1;0,000326571016456855;-6,68877;-66,8419;35,1188;"L";"First";1,00850198371913;-0,0207027637854957;0;2279,59005725869;30
"94";11520;"L_7m_ROI";1;0,00034306304451865;-6,5146;-65,8181;36,2112;"L";"First";1,00848524333272;-0,0230771485004997;0;2331,89442588025;34
"95";11521;"L_7m_ROI";1;0,000357179177923596;-6,36776;-64,7636;37,2916;"L";"First";1,00847240820703;-0,00374883226235871;0;2541,480102453;9
"96";11522;"L_7m_ROI";1;0,000371625869230449;-6,24927;-63,6812;38,3582;"L";"First";1,00845620157432;0,0134141812283513;1;2578,89805618956;3
"97";11523;"L_7m_ROI";1;0,000385448977692837;-6,15933;-62,5741;39,4092;"L";"First";1,00844671409746;-0,0023831082958977;0;2506,42734397608;3
"98";11534;"L_7m_ROI";1;0,000400191598304744;-7,09003;-68,5831;31,7047;"L";"First";1,00842933221488;-0,0183713850688887;0;2328,87050107527;22
"99";11535;"L_7m_ROI";1;0,000414691180127208;-6,86107;-67,6521;32,8287;"L";"First";1,00841448512795;-0,0162222714302314;0;2333,96696917757;1
"100";11536;"L_7m_ROI";1;0,000428799317172177;-6,65459;-66,6842;33,9445;"L";"First";1,00840795832921;-0,0143879814398475;0;2329,19752916856;11
"101";11537;"L_7m_ROI";2;0,000443160822252066;-6,47341;-65,6809;35,051;"L";"First";1,00839647045075;0,00175404837203031;1;2314,93430435711;129
"102";11538;"L_7m_ROI";1;0,000457726716623488;-6,31945;-64,6444;36,1465;"L";"First";1,0083801648621;-0,00823126381712342;0;2491,81119067912;7
"103";11539;"L_7m_ROI";1;0,000471836403140577;-6,19368;-63,5773;37,229;"L";"First";1,00837348000322;0,014784317888334;1;2564,55512755283;82
"104";11540;"L_7m_ROI";1;0,000486863928497949;-6,09625;-62,4824;38,2964;"L";"First";1,00835323503164;0,00414637926941686;1;2556,23768370954;14
"105";11551;"L_7m_ROI";1;0,000501353862921658;-6,83064;-67,4328;31,6444;"L";"First";1,00834182225534;-0,0116025197795228;0;2334,94707861794;12
"106";11552;"L_7m_ROI";1;0,000515300705306129;-6,61728;-66,4889;32,7723;"L";"First";1,00832460331331;-0,0223352130587307;0;2342,23082609386;0
"107";11553;"L_7m_ROI";1;0,000529053432179851;-6,42919;-65,5081;33,892;"L";"First";1,00831881787509;-0,0069105702964765;0;2322,96675780171;77
"108";11554;"L_7m_ROI";1;0,000541406155695646;-6,26824;-64,4921;35,0018;"L";"First";1,00831683387617;-0,0135712859739683;0;2327,39222337448;12
