"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"138";24409;"L_7m_ROI";3;0,00162334671054514;-5,91943;-63,1345;29,3637;"L";1,01658059948219;-0,0221129424619473;0;2219,68418965621;136
"139";24420;"L_7m_ROI";3;0,00164524193586619;-5,65222;-61,8335;29,4372;"L";1,01657850934369;-0,0339632699155571;0;2147,90617926942;80
"140";39815;"R_7m_ROI";3;0,00166762103769423;6,53291;-60,9778;31,5418;"R";1,01652267966554;-0,038050450363543;0;2371,03680565319;58
"141";39816;"R_7m_ROI";3;0,00169045248724757;6,87318;-62,2549;31,5399;"R";1,01649846134649;-0,0454311851666074;0;2326,61908926334;7
"142";39817;"R_7m_ROI";3;0,00171229700152756;7,22684;-63,5091;31,5653;"R";1,01648506205326;-0,0452129660304168;0;2242,1491366344;22
"143";39818;"R_7m_ROI";3;0,00173416556436314;7,59251;-64,7386;31,618;"R";1,01646553236317;-0,0466262627756869;0;2171,77549914256;24
"144";39819;"R_7m_ROI";3;0,00175605240138658;7,96823;-65,9425;31,6974;"R";1,01645400401108;-0,0416710901859599;0;2250,37682412804;386
"145";39820;"R_7m_ROI";3;0,00177811004806806;8,35151;-67,12;31,8018;"R";1,01643833278979;-0,046332345268182;0;2120,53879910553;34
"146";40919;"R_7m_ROI";3;0,00180022038326688;9,74551;-69,4238;49,0942;"R";1,01641564418912;-0,029556678397009;0;1978,58748367097;85
"147";40949;"R_7m_ROI";3;0,00182472749640855;9,58969;-69,5427;48,0356;"R";1,01640120878062;-0,00835501321862685;0;1961,71661913925;174
"148";40978;"R_7m_ROI";3;0,0018488877833192;9,45413;-69,6376;46,9633;"R";1,01638145964124;0,00514719057745916;1;2157,83823231164;801
"149";40979;"R_7m_ROI";3;0,00187131390497664;9,17586;-68,5388;47,8195;"R";1,0163413817388;-0,0142848242060843;0;2122,83226165667;1219
"150";40980;"R_7m_ROI";3;0,0018937578763624;8,92678;-67,4214;48,6631;"R";1,01630087100834;-0,00943477895123945;0;2150,08312804609;231
"151";41006;"R_7m_ROI";3;0,00191631136776199;9,3373;-69,708;45,8773;"R";1,01627727161586;0,00344223811275143;1;2220,03294089462;346
"152";41007;"R_7m_ROI";3;0,00193908349052521;9,05309;-68,6215;46,7476;"R";1,01625963512506;0,00166217962167603;1;2092,0728046035;944
"153";41008;"R_7m_ROI";3;0,00196180386370065;8,79722;-67,5141;47,6052;"R";1,01623022552994;-0,0122006012397273;0;2147,25271037172;124
"154";41009;"R_7m_ROI";3;0,00198480436283714;8,57278;-66,3889;48,4507;"R";1,01619859601026;-0,0198528481643534;0;2026,92244140892;146
"155";41010;"R_7m_ROI";3;0,00200806557876337;8,38179;-65,2487;49,2844;"R";1,01618848960648;-0,0321151116282923;0;2112,55783667929;32
"156";41033;"R_7m_ROI";3;0,00203107842603114;9,23757;-69,753;44,7778;"R";1,01617607977251;-0,00492323204371195;0;2096,25492125646;205
"157";41034;"R_7m_ROI";3;0,00205359595872423;8,94777;-68,6805;45,6629;"R";1,01615241501227;-0,00601761653000826;0;2107,62572266413;97
"158";41035;"R_7m_ROI";3;0,00207621759047111;8,68546;-67,5847;46,5352;"R";1,01611793145892;-0,0177137354912536;0;2121,43754274689;134
"159";41036;"R_7m_ROI";3;0,00209917259213812;8,45397;-66,4686;47,3952;"R";1,0161039525788;-0,0200438852866065;0;2077,96726453316;169
"160";41037;"R_7m_ROI";3;0,00212155603899823;8,25554;-65,3354;48,2432;"R";1,01607499172426;-0,0356074116706417;0;2088,26016563045;26
"161";41038;"R_7m_ROI";3;0,00214393184226792;8,09144;-64,1882;49,0793;"R";1,01606352944033;-0,0262476828177234;0;2242,48196137883;99
"162";41039;"R_7m_ROI";3;0,00216630417266769;7,96203;-63,0301;49,9029;"R";1,01601506094083;-0,0210758806964505;0;2137,30313984477;147
"163";41060;"R_7m_ROI";3;0,00218884488964695;8,85812;-68,7147;44,5654;"R";1,01598916996797;-0,0118343943489322;0;2063,20513463988;15
"164";41061;"R_7m_ROI";3;0,00221133180114037;8,58971;-67,632;45,4531;"R";1,0159760335197;-0,0315115427218906;0;2173,06985160629;79
"165";41062;"R_7m_ROI";3;0,00223386001771621;8,35146;-66,5267;46,3284;"R";1,01594546524305;-0,0414782287248289;0;2188,67325661453;30
"166";41063;"R_7m_ROI";3;0,00225657970079698;8,14585;-65,4019;47,1915;"R";1,0159164606994;-0,0473322442757715;0;2009,84977253879;156
"167";41064;"R_7m_ROI";3;0,00227929106628044;7,97432;-64,2608;48,0423;"R";1,01590133131437;-0,0405467535413472;0;2082,15585455266;69
"168";41065;"R_7m_ROI";3;0,00230303718950754;7,83743;-63,1067;48,8804;"R";1,01587729639435;-0,0331891100800071;0;2074,53229033104;64
"169";41085;"R_7m_ROI";3;0,00232616914512741;8,78228;-68,7232;43,4554;"R";1,01585707389666;-0,00690181435945397;0;2021,83088369928;52
"170";41086;"R_7m_ROI";3;0,00234903826620655;8,50805;-67,6552;44,3591;"R";1,0158312996268;-0,0255066267357076;0;2268,80803151189;123
"171";41087;"R_7m_ROI";3;0,00237198340896526;8,26335;-66,5622;45,2504;"R";1,0158010124519;-0,0538171782048486;0;2220,11776842129;33
"172";41088;"R_7m_ROI";3;0,00239500977562167;8,05081;-65,4473;46,1293;"R";1,01576657522293;-0,0657775900633047;0;2193,11469196131;16
"173";41089;"R_7m_ROI";3;0,00241817709047985;7,87205;-64,3137;46,9956;"R";1,01575405695534;-0,0453110594500788;0;2193,12640678215;32
"174";41090;"R_7m_ROI";3;0,0024414101700747;7,72778;-63,1649;47,8489;"R";1,01573190198039;-0,0401742929648391;0;2108,51012742807;32
"175";41091;"R_7m_ROI";3;0,00246459499985149;7,61793;-62,004;48,6885;"R";1,01571257171023;-0,0245215871294068;0;2117,07846953261;40
"176";41109;"R_7m_ROI";3;0,00248781203794985;8,7183;-68,7048;42,3329;"R";1,01569814259155;0,00316670582154366;1;2049,89095765796;372
"177";41110;"R_7m_ROI";3;0,00251074877422645;8,43852;-67,653;43,2533;"R";1,01567765520608;-0,0236293489256176;0;2196,28253682646;117
"178";41111;"R_7m_ROI";3;0,00253380834374908;8,18764;-66,5739;44,1612;"R";1,01566580219122;-0,0339905287330178;0;2356,18586968577;57
"179";41112;"R_7m_ROI";3;0,00255692690244683;7,96844;-65,4704;45,0566;"R";1,0156213083034;-0,0534040518192239;0;2336,34489249979;8
