"";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"170";"R_p10p_ROI";2;0,0410320781715535;26,4125;67,3486;4,33257;"R";1,00701554550849;-0,0779134009470761;0;312,61980113587;11
"171";"R_p47r_ROI";2;0,0413014870005281;45,0075;56,3789;-3,8272;"R";1,00691983008401;-0,00523346659842811;0;305,128894880998;23
"172";"R_TGv_ROI";2;0,0415802167149199;42,3516;-0,325963;-44,6803;"R";1,00672459170453;-0,0358060720370836;0;267,359296141107;0
"173";"R_MBelt_ROI";3;0,0418364867986526;55,8767;-10,7522;-3,26385;"R";1,00660594224861;0,0227709513193163;1;310,250243672763;2
"174";"R_LBelt_ROI";3;0,0421099839698549;59,1382;-23,1168;6,61575;"R";1,00653693025309;0,0245167068788587;1;286,87464301059;9
"175";"R_A4_ROI";3;0,0423872958148432;64,0252;-20,8485;1,27518;"R";1,00632430218046;0,0651217436846065;1;343,966866050817;12
"176";"R_STSva_ROI";2;0,0426811202966298;61,8291;-11,4739;-19,5872;"R";1,00625105246812;-0,0985834454898188;0;360,355152056567;275
"177";"R_TE1m_ROI";2;0,042991526706383;63,3764;-29,3732;-19,5795;"R";1,00599522456935;-0,040276109708725;0;312,09030940057;40
"178";"R_PI_ROI";3;0,0433050688183269;50,7205;10,2304;-20,6694;"R";1,00579628334052;0,0307990229680629;1;315,270233457933;0
"179";"R_a32pr_ROI";2;0,0436245606099356;6,08628;34,8872;32,1108;"R";1,00570510642924;0,00856381440782218;1;319,203058349918;24
"180";"R_p24_ROI";2;0,0439785379991157;4,9989;37,9177;15,6267;"R";1,00548178765519;-0,00693103572551016;0;291,659009387879;16
"181";"L_V1_ROI";3;0,0443341608210314;-9,66141;-84,5161;-0,484587;"L";1,00542230382536;0,0154503196726435;1;297,085281132667;72
"182";"L_MST_ROI";3;0,0446981869930391;-51,6683;-78,4569;2,95631;"L";1,00522941195718;0,0618424787943275;1;369,232057870667;1
"183";"L_V6_ROI";3;0,0450856256699136;-9,92671;-83,667;30,0225;"L";1,0050597389882;0,0662656567805847;1;343,214688414206;1
"184";"L_V2_ROI";3;0,0454698444114422;-11,4511;-83,621;-8,18927;"L";1,00503303546779;0,0625017009287739;1;324,928975220717;0
"185";"L_V3_ROI";3;0,0458694882950144;-24,9707;-102,401;4,30728;"L";1,00492189425563;0,0655628316038091;1;318,84188438189;3
"186";"L_V4_ROI";3;0,0462722629973752;-32,6537;-93,0531;-15,3647;"L";1,00482602873866;0,0523448963309599;1;312,544310847835;25
"187";"L_V8_ROI";3;0,0466908150876701;-32,9345;-77,2125;-22,8581;"L";1,00461645612442;0,034862305704716;1;293,859624936016;1
"188";"L_4_ROI";3;0,0471065109621859;-33,3431;-17,1152;72,0779;"L";1,00441199942336;0,0590447308833034;1;351,634180015813;3
"189";"L_3b_ROI";3;0,047530439990781;-46,5182;-22,1065;62,6829;"L";1,00423657668852;0,0344857731545303;1;347,211911479782;10
"190";"L_FEF_ROI";3;0,0479503208329084;-42,9503;4,93378;61,2976;"L";1,00403742677107;0,0493598053087371;1;347,541682572493;5
"191";"L_PEF_ROI";3;0,0483699953508116;-53,2305;10,2373;44,246;"L";1,00398450499212;0,0248956936999309;1;313,555582623491;16
