"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"56";19126;"L_10pp_ROI";2;-4,84642297632689e-05;-17,4805;57,2046;-15,6925;"L";1,02287828396499;-0,0114489195888331;0;1598,79030635923;306
"57";19127;"L_10pp_ROI";2;-3,20196087176768e-05;-17,3674;56,0756;-16,7113;"L";1,02284323958687;-0,0273029669402266;0;1542,84789875366;50
"58";19128;"L_10pp_ROI";3;-1,87037775260634e-05;-17,264;54,8943;-17,6837;"L";1,02276766620846;-0,00401622528547786;0;1638,3489940349;5
"59";19129;"L_10pp_ROI";1;-3,56500524461839e-06;-17,1697;53,6619;-18,6094;"L";1,02270619862093;-0,00413214918902531;0;1411,58561887473;16
"60";19130;"L_10pp_ROI";2;1,11247180406573e-05;-17,0839;52,3797;-19,4879;"L";1,02268559536905;-0,0149733257790081;0;1659,03906120408;918
"61";19152;"L_10pp_ROI";1;2,4804755929813e-05;-17,2725;61,3251;-10,2743;"L";1,02262269136331;0,00993172517771723;1;1692,44845597961;1056
"62";19153;"L_10pp_ROI";3;3,98194343622582e-05;-17,1123;60,4351;-11,5039;"L";1,0225801395071;-0,00893680516620377;0;1751,86513109509;2182
"63";19154;"L_10pp_ROI";2;5,44726497740688e-05;-16,9626;59,4869;-12,6927;"L";1,02256933414804;-0,0111750937635813;0;1662,02038757652;376
"64";19155;"L_10pp_ROI";2;6,88645481936605e-05;-16,8237;58,4819;-13,839;"L";1,02253695497929;-0,00887686246883591;0;1673,68160616792;618
"65";19156;"L_10pp_ROI";2;8,36177563733221e-05;-16,6958;57,4212;-14,9414;"L";1,022476424256;-0,0241567036533303;0;1665,57815703759;63
"66";19157;"L_10pp_ROI";2;9,80713666451026e-05;-16,5787;56,3061;-15,9987;"L";1,02244615907885;-0,0196315386243008;0;1556,95252514361;145
"67";19158;"L_10pp_ROI";2;0,000112580836648766;-16,4721;55,1378;-17,0098;"L";1,02242880728994;-0,020090398178023;0;1480,72692302091;176
