"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary"
"55";11421;"L_7m_ROI";3;-4,02360486344669e-05;-6,63863;-64,9521;42,9688;"L";1,00523197895459;-0,0202929642080829;0
"56";11422;"L_7m_ROI";3;-3,55027195725431e-05;-6,56008;-63,8265;43,9538;"L";1,00522416018396;-0,0189913112644921;0
"57";11423;"L_7m_ROI";3;-3,07702653353511e-05;-6,51107;-62,6907;44,9222;"L";1,00522310730909;-0,0157934725896387;0
"58";11424;"L_7m_ROI";3;-2,58863711990137e-05;-6,49118;-61,5478;45,8726;"L";1,00521831190779;-0,0122437620528329;0
"59";11425;"L_7m_ROI";3;-2,10793115519449e-05;-6,49949;-60,4007;46,8037;"L";1,00520974145541;-0,00765555509437969;0
"60";11440;"L_7m_ROI";1;-1,64711686137688e-05;-7,00482;-68,2111;38,7522;"L";1,00520916929305;0,0075087421393281;1
"61";11441;"L_7m_ROI";1;-1,18021685193449e-05;-6,83372;-67,1499;39,7965;"L";1,00520295899917;-0,000505227184488589;0
"62";11442;"L_7m_ROI";3;-7,02175417868071e-06;-6,68917;-66,0653;40,8273;"L";1,00519774949321;-0,014822252119173;0
"63";11443;"L_7m_ROI";3;-2,01923501652677e-06;-6,57293;-64,9609;41,8438;"L";1,00518675214223;-0,0200150660833613;0
"64";11444;"L_7m_ROI";3;2,83775501316408e-06;-6,48591;-63,8401;42,845;"L";1,00518163813287;-0,0196019570604105;0
"65";11445;"L_7m_ROI";3;7,79945418421928e-06;-6,4283;-62,7064;43,8295;"L";1,00517605501051;-0,0188620072178206;0
"66";11446;"L_7m_ROI";3;1,28367414740567e-05;-6,39969;-61,5632;44,796;"L";1,00517222314284;-0,0170535126701822;0
"67";11447;"L_7m_ROI";3;1,79474525193682e-05;-6,39924;-60,4135;45,7429;"L";1,00516794330925;-0,00983511469015759;0
"68";11448;"L_7m_ROI";3;2,30327012069171e-05;-6,42575;-59,2602;46,6686;"L";1,0051640061058;-0,00285122261415398;0
"69";11461;"L_7m_ROI";1;2,80825999288676e-05;-6,9704;-68,1625;37,5738;"L";1,005157644963;0,00813595203846059;1
"70";11462;"L_7m_ROI";1;3,32068203191225e-05;-6,7919;-67,1161;38,6333;"L";1,00515450289555;0,00385716141439616;1
"71";11463;"L_7m_ROI";3;3,83832480131154e-05;-6,63962;-66,0437;39,6799;"L";1,0051453203644;-0,00966578064107541;0
"72";11464;"L_7m_ROI";3;4,36318137879525e-05;-6,51536;-64,9486;40,7125;"L";1,0051378273463;-0,0114856411003041;0
"73";11465;"L_7m_ROI";3;4,88970990467015e-05;-6,42012;-63,8343;41,7301;"L";1,0051307774269;-0,0152550408363735;0
"74";11466;"L_7m_ROI";3;5,42120592506e-05;-6,35409;-62,7044;42,7311;"L";1,0051289473979;-0,018825284522543;0
"75";11467;"L_7m_ROI";3;5,95766961868481e-05;-6,31688;-61,5623;43,7139;"L";1,00512704324085;-0,0180549971370419;0
"76";11468;"L_7m_ROI";3;6,49430314400597e-05;-6,30767;-60,4112;44,677;"L";1,00512122846425;-0,0108341475893111;0
"77";11481;"L_7m_ROI";1;7,04774508513409e-05;-6,94101;-68,0849;36,3905;"L";1,00511544758937;0,00798543649302221;1
"78";11482;"L_7m_ROI";1;7,61468713768969e-05;-6,75532;-67,0552;37,465;"L";1,00510908293935;0,00471152480161395;1
"79";11483;"L_7m_ROI";3;8,20502818494933e-05;-6,59554;-65,9969;38,5272;"L";1,00510179638666;-0,00514649858365081;0
"80";11484;"L_7m_ROI";3;8,80221374218293e-05;-6,46353;-64,9132;39,576;"L";1,00509548627535;-0,0111134176101803;0
"81";11485;"L_7m_ROI";3;9,41329502964781e-05;-6,36029;-63,8074;40,61;"L";1,00508973124162;-0,0138651905289046;0
"82";11486;"L_7m_ROI";3;0,00010042582073236;-6,28606;-62,683;41,6276;"L";1,00508652106584;-0,0165965929523291;0
"83";11487;"L_7m_ROI";3;0,000106750454371867;-6,24042;-61,5435;42,6271;"L";1,00508460609507;-0,0166687828501045;0
"84";11488;"L_7m_ROI";3;0,000112997342981977;-6,22255;-60,3923;43,6066;"L";1,0050780791284;-0,0137659000975299;0
"85";11500;"L_7m_ROI";1;0,00011896564275619;-6,91438;-67,9756;35,204;"L";1,00507168276425;0,00868525145482463;1
"86";11501;"L_7m_ROI";1;0,000124939257145504;-6,72167;-66,9647;36,2929;"L";1,00506777142457;0,0044803720928517;1
"87";11502;"L_7m_ROI";3;0,000130973691258342;-6,55461;-65,9226;37,3705;"L";1,00505794497287;-0,00106335220711354;0
"88";11503;"L_7m_ROI";3;0,000137072126371036;-6,41508;-64,8523;38,4352;"L";1,00504885773998;-0,0124132745699894;0
"89";11504;"L_7m_ROI";3;0,000143354726750208;-6,30411;-63,7571;39,4856;"L";1,00504519901774;-0,0165190355531798;0
"90";11505;"L_7m_ROI";3;0,000149910621684527;-6,22189;-62,6402;40,52;"L";1,00503920712356;-0,0179736480512534;0
"91";11506;"L_7m_ROI";3;0,00015664375530735;-6,16803;-61,5052;41,5363;"L";1,00503523672623;-0,0179566706043726;0
"92";11518;"L_7m_ROI";1;0,000163388597400678;-6,88839;-67,8322;34,016;"L";1,00503020702633;0,00839369293168689;1
"93";11519;"L_7m_ROI";1;0,000170106580508549;-6,68877;-66,8419;35,1188;"L";1,00502742208769;0,00409757295571955;1
"94";11520;"L_7m_ROI";1;0,000177124898131482;-6,5146;-65,8181;36,2112;"L";1,00502242175192;0,0021827038643295;1
"95";11521;"L_7m_ROI";3;0,000184005182136711;-6,36776;-64,7636;37,2916;"L";1,00501663347138;-0,0120503147951707;0
"96";11522;"L_7m_ROI";3;0,000190826383488903;-6,24927;-63,6812;38,3582;"L";1,00501385141362;-0,0174771992726394;0
"97";11523;"L_7m_ROI";3;0,000197740667617269;-6,15933;-62,5741;39,4092;"L";1,00500880763436;-0,0190470060723679;0
"98";11534;"L_7m_ROI";3;0,000204738904354543;-7,09003;-68,5831;31,7047;"L";1,00500625850351;-0,00127936598444299;0
"99";11535;"L_7m_ROI";1;0,000211798092772036;-6,86107;-67,6521;32,8287;"L";1,0049983632714;0,00464378397406656;1
"100";11536;"L_7m_ROI";1;0,000218861408720149;-6,65459;-66,6842;33,9445;"L";1,00499729139313;0,00490661935310551;1
"101";11537;"L_7m_ROI";1;0,000225973910347996;-6,47341;-65,6809;35,051;"L";1,00499268670278;0,00268993771355267;1
"102";11538;"L_7m_ROI";3;0,000233273834275446;-6,31945;-64,6444;36,1465;"L";1,004984852391;-0,00745347361733359;0
"103";11539;"L_7m_ROI";3;0,000240522266776337;-6,19368;-63,5773;37,229;"L";1,00498040021367;-0,0163947096884428;0
"104";11540;"L_7m_ROI";3;0,000247824438368847;-6,09625;-62,4824;38,2964;"L";1,00497621932209;-0,0196748968406014;0
"105";11551;"L_7m_ROI";1;0,000255136469447634;-6,83064;-67,4328;31,6444;"L";1,00497107372175;0,00417337373963053;1
"106";11552;"L_7m_ROI";1;0,000262590590511211;-6,61728;-66,4889;32,7723;"L";1,00496423127471;0,00295062056943272;1
"107";11553;"L_7m_ROI";1;0,000270121779184209;-6,42919;-65,5081;33,892;"L";1,0049601279232;0,00451695587119867;1
"108";11554;"L_7m_ROI";1;0,000277817688512675;-6,26824;-64,4921;35,0018;"L";1,00495789870403;0,00404038966141844;1
"109";11555;"L_7m_ROI";3;0,000285701907320735;-6,13537;-63,4428;36,0996;"L";1,00495055952854;-0,0125345712275243;0
"110";11556;"L_7m_ROI";3;0,000293377945057816;-6,03071;-62,3628;37,183;"L";1,00494812469205;-0,0172227008020236;0
"111";11567;"L_7m_ROI";3;0,00030122110363888;-6,57527;-66,2535;31,6044;"L";1,00494195545202;-0,000474666591445502;0
"112";11568;"L_7m_ROI";1;0,000309176636418546;-6,38029;-65,2971;32,7363;"L";1,00493427200561;0,00249406623489098;1
"113";11569;"L_7m_ROI";1;0,000317203479891391;-6,21245;-64,3038;33,8595;"L";1,00492877917834;0,00770541994465697;1
"114";11570;"L_7m_ROI";3;0,000325283576239649;-6,07266;-63,275;34,9717;"L";1,00492382081364;-0,00503483322160494;0
"115";11571;"L_7m_ROI";3;0,000333332602039956;-5,96097;-62,2128;36,0705;"L";1,00492194225311;-0,0155875893423496;0
"116";11582;"L_7m_ROI";3;0,000341501556522722;-6,32533;-65,0452;31,5864;"L";1,0049122097429;-0,00133842942804718;0
"117";11583;"L_7m_ROI";1;0,000349738851399871;-6,15066;-64,0767;32,7218;"L";1,0049113494374;0,00619787996086652;1
"118";11584;"L_7m_ROI";1;0,000357903163124879;-6,00408;-63,0711;33,8474;"L";1,004902562562;0,00175730382712504;1
