"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary"
"142";22222;"L_V1_ROI";1;0,000173448733867378;-23,4853;-97,8725;-11,0807;"L";1,0041278686971;0,00254639143963901;1
"143";22223;"L_V1_ROI";1;0,000177765521509704;-22,454;-98,2391;-10,1884;"L";1,00412346652648;0,00182809816459741;1
"144";22224;"L_V1_ROI";1;0,000182171012518772;-21,4547;-98,534;-9,23399;"L";1,00412232796369;0,00145503280499245;1
"145";22225;"L_V1_ROI";1;0,000186223994299599;-20,4888;-98,7579;-8,21867;"L";1,0041167798514;0,0014217520949873;1
"146";22226;"L_V1_ROI";1;0,000190325230675822;-19,5572;-98,9118;-7,14421;"L";1,00411374812388;0,00605276321241565;1
"147";22227;"L_V1_ROI";1;0,000194404755890821;-18,6606;-98,9964;-6,01287;"L";1,00411204502582;0,00996204047943594;1
"148";22228;"L_V1_ROI";1;0,000198517107058907;-17,7995;-99,013;-4,82734;"L";1,00411051750597;0,0116595895683883;1
"149";22229;"L_V1_ROI";1;0,00020267334869109;-16,9746;-98,963;-3,59064;"L";1,00410840432437;0,0112202341080356;1
"150";22230;"L_V1_ROI";1;0,000206857582573653;-16,1867;-98,8485;-2,30608;"L";1,00410607181524;0,0117772316805033;1
"151";22231;"L_V1_ROI";1;0,000211120623050082;-15,4369;-98,6718;-0,977159;"L";1,00410119200164;0,0130186369886382;1
"152";22232;"L_V1_ROI";1;0,000215275655147209;-14,7268;-98,4362;0,392444;"L";1,004099202718;0,0110929610481983;1
"153";22259;"L_V1_ROI";1;0,000219437850387857;-23,2872;-97,2131;-11,8554;"L";1,00409657905802;0,00515374030837229;1
"154";22260;"L_V1_ROI";1;0,000223701430616754;-22,2488;-97,6009;-10,9817;"L";1,00409331695076;0,00351243189385799;1
"155";22261;"L_V1_ROI";1;0,000227835652617548;-21,2448;-97,9174;-10,0462;"L";1,00409161060462;0,00301354603261333;1
"156";22262;"L_V1_ROI";1;0,000231997440672618;-20,2765;-98,1634;-9,04982;"L";1,00408660863061;0,00521535273793171;1
"157";22263;"L_V1_ROI";1;0,000236202373459033;-19,3446;-98,3398;-7,99406;"L";1,00408607081016;0,00318670919484988;1
"158";22264;"L_V1_ROI";1;0,000240414702355026;-18,4496;-98,4477;-6,88097;"L";1,00408112001495;0,0066099467389985;1
"159";22265;"L_V1_ROI";1;0,000244641476750419;-17,5917;-98,4881;-5,71304;"L";1,00407995474977;0,0108907476629575;1
"160";22266;"L_V1_ROI";1;0,000248914248037286;-16,7708;-98,4623;-4,49315;"L";1,00407805996919;0,0109679858748644;1
"161";22267;"L_V1_ROI";1;0,000253199790707877;-15,9871;-98,3719;-3,22445;"L";1,00407570087871;0,0112820343276807;1
"162";22268;"L_V1_ROI";1;0,000257501188888744;-15,2413;-98,2192;-1,91033;"L";1,00407133535004;0,0110657753299417;1
"163";22269;"L_V1_ROI";1;0,000261903724497808;-14,5341;-98,0068;-0,554378;"L";1,00406829084367;0,0125251198951489;1
"164";22296;"L_V1_ROI";1;0,000266363475417365;-22,0558;-96,9213;-11,7257;"L";1,00406486034649;0,00301253819227418;1
"165";22297;"L_V1_ROI";2;0,000270747276863211;-21,0455;-97,2594;-10,8104;"L";1,00406211565393;-0,00255558362263343;0
"166";22298;"L_V1_ROI";2;0,000275199131774787;-20,0734;-97,5276;-9,83461;"L";1,00406014748177;-0,00307945423060425;0
"167";22299;"L_V1_ROI";1;0,000279643340833156;-19,1402;-97,7269;-8,79945;"L";1,00405830785533;0,00384616612574728;1
"168";22300;"L_V1_ROI";1;0,000284118011884113;-18,2462;-97,8585;-7,70677;"L";1,00405690732728;0,00455224698326272;1
