"";"Correlation";"x";"y";"z";"Label";"Hemisphere";"Relation"
"238";0,05;-8,25503;-57,801;3,5037;"L_POS1_ROI";"L";"Positive"
"239";0,08;-8,0721;-56,5666;2,97156;"L_POS1_ROI";"L";"Positive"
"240";0,09;-7,89505;-55,3133;2,45997;"L_POS1_ROI";"L";"Positive"
"241";0,11;-7,72948;-54,0467;1,96451;"L_RSC_ROI";"L";"Positive"
"242";0,12;-7,58092;-52,7724;1,48039;"L_RSC_ROI";"L";"Positive"
"243";0,11;-7,45468;-51,4959;1,00246;"L_RSC_ROI";"L";"Positive"
"244";0,14;-7,35564;-50,2225;0,525295;"L_RSC_ROI";"L";"Positive"
"245";0,09;-9,03894;-60,591;3,68869;"L_POS1_ROI";"L";"Positive"
"246";0,02;-8,86357;-59,3915;3,10587;"L_POS1_ROI";"L";"Positive"
"247";0,01;-8,68481;-58,1638;2,5496;"L_POS1_ROI";"L";"Positive"
"248";0,02;-8,50814;-56,9135;2,01632;"L_POS1_ROI";"L";"Positive"
"249";0,04;-8,33936;-55,6463;1,50206;"L_POS1_ROI";"L";"Positive"
"250";0,07;-8,18432;-54,3681;1,00243;"L_RSC_ROI";"L";"Positive"
"251";0,11;-8,04877;-53,0847;0,512673;"L_RSC_ROI";"L";"Positive"
"252";0,14;-7,93818;-51,8018;0,0277184;"L_RSC_ROI";"L";"Positive"
"253";0,21;-7,85743;-50,5247;-0,457766;"L_RSC_ROI";"L";"Positive"
"254";0,25;-7,81074;-49,2586;-0,949298;"L_RSC_ROI";"L";"Positive"
"255";0,23;-7,80142;-48,0079;-1,45245;"L_RSC_ROI";"L";"Positive"
"256";0,09;-9,44536;-60,9585;2,75632;"L_ProS_ROI";"L";"Positive"
"257";0,05;-9,27468;-59,7391;2,17444;"L_POS1_ROI";"L";"Positive"
"258";-0,01;-9,10212;-58,4931;1,6174;"L_POS1_ROI";"L";"Negative"
"259";0,02;-8,93358;-57,2264;1,08166;"L_POS1_ROI";"L";"Positive"
"260";0,03;-8,77519;-55,9451;0,563314;"L_POS1_ROI";"L";"Positive"
"261";0,05;-8,63306;-54,6555;0,0580316;"L_POS1_ROI";"L";"Positive"
"262";0,1;-8,51312;-53,3635;-0,43884;"L_RSC_ROI";"L";"Positive"
"263";0,17;-8,42087;-52,0748;-0,93227;"L_RSC_ROI";"L";"Positive"
"264";0,24;-8,36121;-50,7947;-1,42747;"L_RSC_ROI";"L";"Positive"
"265";0,23;-8,33823;-49,5283;-1,92979;"L_RSC_ROI";"L";"Positive"
"266";0,2;-8,35506;-48,2796;-2,44467;"L_RSC_ROI";"L";"Positive"
"267";0,07;-9,83181;-61,2925;1,84725;"L_ProS_ROI";"L";"Positive"
"268";0,05;-9,66736;-60,0523;1,26503;"L_ProS_ROI";"L";"Positive"
"269";0,01;-9,5029;-58,7874;0,70582;"L_ProS_ROI";"L";"Positive"
"270";0,01;-9,34472;-57,5042;0,166148;"L_POS1_ROI";"L";"Positive"
"271";0,02;-9,19922;-56,2091;-0,357833;"L_POS1_ROI";"L";"Positive"
"272";0,07;-9,07273;-54,9085;-0,870327;"L_POS1_ROI";"L";"Positive"
"273";0,11;-8,97125;-53,6084;-1,37586;"L_RSC_ROI";"L";"Positive"
"274";0,16;-8,90031;-52,3147;-1,87925;"L_RSC_ROI";"L";"Positive"
"275";0,21;-8,86472;-51,0324;-2,38553;"L_RSC_ROI";"L";"Positive"
"276";0,2;-8,86839;-49,7663;-2,89988;"L_RSC_ROI";"L";"Positive"
"277";0,15;-8,91421;-48,5203;-3,4275;"L_RSC_ROI";"L";"Positive"
"278";0,13;-10,1941;-61,5913;0,960144;"L_ProS_ROI";"L";"Positive"
"279";0,1;-10,0378;-60,3298;0,376148;"L_ProS_ROI";"L";"Positive"
"280";0,05;-9,88376;-59,0459;-0,186772;"L_ProS_ROI";"L";"Positive"
"281";0;-9,73855;-57,7463;-0,731995;"L_ProS_ROI";"L";"Positive"
"282";-0,02;-9,6088;-56,4378;-1,26324;"L_POS1_ROI";"L";"Negative"
"283";0,01;-9,50097;-55,1269;-1,78457;"L_POS1_ROI";"L";"Positive"
"284";0,11;-9,42109;-53,8196;-2,30033;"L_POS1_ROI";"L";"Positive"
"285";0,18;-9,37461;-52,5217;-2,81515;"L_RSC_ROI";"L";"Positive"
"286";0,15;-9,36618;-51,2381;-3,33384;"L_RSC_ROI";"L";"Positive"
"287";0,16;-9,39948;-49,9731;-3,86135;"L_RSC_ROI";"L";"Positive"
"288";0,1;-9,47709;-48,7302;-4,40262;"L_PreS_ROI";"L";"Positive"
"289";0,04;-9,60038;-47,512;-4,96246;"L_PreS_ROI";"L";"Positive"
"290";0,1;-10,5288;-61,8537;0,0932983;"L_ProS_ROI";"L";"Positive"
"291";0,07;-10,3831;-60,5707;-0,494051;"L_ProS_ROI";"L";"Positive"
"292";0,04;-10,2422;-59,268;-1,06234;"L_ProS_ROI";"L";"Positive"
"293";-0,04;-10,1129;-57,9526;-1,61481;"L_ProS_ROI";"L";"Negative"
"294";-0,04;-10,0021;-56,6315;-2,15501;"L_ProS_ROI";"L";"Negative"
"295";-0,04;-9,91625;-55,3111;-2,68681;"L_ProS_ROI";"L";"Negative"
"296";0,03;-9,8613;-53,9977;-3,21433;"L_PreS_ROI";"L";"Positive"
"297";0,15;-9,84255;-52,6965;-3,74197;"L_PreS_ROI";"L";"Positive"
"298";0,11;-9,8644;-51,4124;-4,27429;"L_PreS_ROI";"L";"Positive"
"299";0,1;-9,93026;-50,1491;-4,81596;"L_PreS_ROI";"L";"Positive"
"300";0,06;-10,0423;-48,9097;-5,37164;"L_PreS_ROI";"L";"Positive"
"301";0,04;-10,2016;-47,6962;-5,94583;"L_PreS_ROI";"L";"Positive"
"302";0,05;-10,4077;-46,5094;-6,54274;"L_PreS_ROI";"L";"Positive"
"303";0,05;-10,8335;-62,0789;-0,755281;"L_ProS_ROI";"L";"Positive"
"304";0,03;-10,7012;-60,7748;-1,34767;"L_ProS_ROI";"L";"Positive"
"305";-0,03;-10,5766;-59,4538;-1,92305;"L_ProS_ROI";"L";"Negative"
"306";-0,08;-10,4667;-58,1235;-2,48449;"L_ProS_ROI";"L";"Negative"
"307";-0,02;-10,3783;-56,7908;-3,03533;"L_ProS_ROI";"L";"Negative"
"308";0,05;-10,318;-55,4622;-3,57918;"L_ProS_ROI";"L";"Positive"
"309";0,04;-10,2914;-54,1436;-4,11993;"L_ProS_ROI";"L";"Positive"
"310";0,09;-10,3036;-52,8403;-4,66168;"L_PreS_ROI";"L";"Positive"
"311";0,09;-10,3588;-51,5564;-5,20871;"L_PreS_ROI";"L";"Positive"
"312";0,05;-10,46;-50,2953;-5,76538;"L_PreS_ROI";"L";"Positive"
