"";"x";"y";"z";"Label";"Hemisphere"
"11777";"-44.9373";"-75.7252";"45.8175";"L_PGs_ROI";"L"
"11778";"-45.4981";"-74.6013";"46.1387";"L_PGs_ROI";"L"
"11779";"-46.0551";"-73.4714";"46.4193";"L_PGs_ROI";"L"
"11780";"-46.6077";"-72.3374";"46.6633";"L_PFm_ROI";"L"
"11781";"-47.1556";"-71.2008";"46.8746";"L_PFm_ROI";"L"
"11782";"-47.6985";"-70.0633";"47.0566";"L_PFm_ROI";"L"
"11783";"-48.236";"-68.9262";"47.2126";"L_PFm_ROI";"L"
"11784";"-48.7682";"-67.7908";"47.3456";"L_PFm_ROI";"L"
"11785";"-49.2948";"-66.6586";"47.4579";"L_PFm_ROI";"L"
"11786";"-49.8158";"-65.5307";"47.5517";"L_PFm_ROI";"L"
"11787";"-50.3311";"-64.4083";"47.6284";"L_PFm_ROI";"L"
"11788";"-50.8408";"-63.2926";"47.689";"L_PFm_ROI";"L"
"11789";"-51.3445";"-62.1849";"47.7342";"L_PFm_ROI";"L"
"11790";"-51.8423";"-61.0866";"47.7639";"L_PFm_ROI";"L"
"11791";"-52.3336";"-59.9991";"47.7777";"L_PFm_ROI";"L"
"11792";"-52.8182";"-58.9245";"47.7747";"L_PFm_ROI";"L"
"11793";"-53.2953";"-57.865";"47.7536";"L_PFm_ROI";"L"
"11794";"-53.764";"-56.8236";"47.7123";"L_PFm_ROI";"L"
"11795";"-54.2234";"-55.8043";"47.6484";"L_PFm_ROI";"L"
"11796";"-54.6721";"-54.8126";"47.5584";"L_PFm_ROI";"L"
"11797";"-55.1104";"-53.8561";"47.4354";"L_PFm_ROI";"L"
"11798";"-22.0393";"-98.8525";"21.2361";"L_V3A_ROI";"L"
"11799";"-22.8646";"-98.698";"21.5773";"L_V3A_ROI";"L"
"11800";"-23.7018";"-98.5036";"21.9314";"L_V3A_ROI";"L"
"11801";"-24.5456";"-98.2663";"22.3182";"L_V3B_ROI";"L"
"11802";"-25.3908";"-97.9855";"22.7506";"L_V3B_ROI";"L"
"11803";"-26.2324";"-97.6623";"23.2381";"L_V3B_ROI";"L"
"11804";"-27.0659";"-97.2985";"23.7877";"L_V3B_ROI";"L"
"11805";"-27.887";"-96.8959";"24.4043";"L_V3B_ROI";"L"
"11806";"-28.6919";"-96.457";"25.0905";"L_V3B_ROI";"L"
"11807";"-29.4774";"-95.9837";"25.847";"L_V3B_ROI";"L"
"11808";"-30.2409";"-95.4783";"26.6718";"L_V3B_ROI";"L"
"11809";"-30.9808";"-94.9423";"27.5612";"L_IP0_ROI";"L"
"11810";"-31.696";"-94.377";"28.5092";"L_IP0_ROI";"L"
"11811";"-32.3867";"-93.7834";"29.508";"L_IP0_ROI";"L"
"11812";"-33.0537";"-93.1618";"30.5487";"L_IP0_ROI";"L"
"11813";"-33.6988";"-92.5121";"31.6212";"L_IP0_ROI";"L"
"11814";"-34.3244";"-91.834";"32.7149";"L_IP0_ROI";"L"
"11815";"-34.9333";"-91.1265";"33.8187";"L_IP0_ROI";"L"
"11816";"-35.5287";"-90.389";"34.9217";"L_IP0_ROI";"L"
"11817";"-36.1137";"-89.6206";"36.0132";"L_IP0_ROI";"L"
"11818";"-36.6913";"-88.8206";"37.0832";"L_PGs_ROI";"L"
"11819";"-37.2643";"-87.9887";"38.1224";"L_PGs_ROI";"L"
"11820";"-37.835";"-87.1249";"39.1224";"L_PGs_ROI";"L"
"11821";"-38.405";"-86.2298";"40.0762";"L_PGs_ROI";"L"
"11822";"-38.9757";"-85.3043";"40.9777";"L_PGs_ROI";"L"
"11823";"-39.5479";"-84.3498";"41.8226";"L_PGs_ROI";"L"
"11824";"-40.1219";"-83.368";"42.6076";"L_PGs_ROI";"L"
"11825";"-40.6975";"-82.3611";"43.331";"L_PGs_ROI";"L"
"11826";"-41.2745";"-81.3311";"43.9923";"L_PGs_ROI";"L"
"11827";"-41.8521";"-80.2806";"44.5921";"L_PGs_ROI";"L"
"11828";"-42.4298";"-79.2119";"45.1321";"L_PGs_ROI";"L"
"11829";"-43.0066";"-78.1272";"45.6149";"L_PGs_ROI";"L"
"11830";"-43.5818";"-77.0289";"46.0435";"L_PGs_ROI";"L"
"11831";"-44.1546";"-75.9191";"46.4216";"L_PGs_ROI";"L"
"11832";"-44.7241";"-74.7999";"46.753";"L_PGs_ROI";"L"
"11833";"-45.2899";"-73.6733";"47.042";"L_PGs_ROI";"L"
"11834";"-45.8513";"-72.541";"47.2924";"L_PFm_ROI";"L"
"11835";"-46.4079";"-71.4047";"47.5084";"L_PFm_ROI";"L"
"11836";"-46.9596";"-70.2661";"47.6935";"L_PFm_ROI";"L"
"11837";"-47.506";"-69.1265";"47.8514";"L_PFm_ROI";"L"
"11838";"-48.0471";"-67.9875";"47.9851";"L_PFm_ROI";"L"
"11839";"-48.583";"-66.8503";"48.0972";"L_PFm_ROI";"L"
"11840";"-49.1136";"-65.7163";"48.1899";"L_PFm_ROI";"L"
"11841";"-49.639";"-64.5865";"48.2648";"L_PFm_ROI";"L"
"11842";"-50.1593";"-63.4623";"48.3233";"L_PFm_ROI";"L"
"11843";"-50.6747";"-62.3449";"48.3658";"L_PFm_ROI";"L"
"11844";"-51.185";"-61.2355";"48.3925";"L_PFm_ROI";"L"
"11845";"-51.6904";"-60.1355";"48.4028";"L_PFm_ROI";"L"
"11846";"-52.1907";"-59.0466";"48.3958";"L_PFm_ROI";"L"
"11847";"-52.6858";"-57.9704";"48.3697";"L_PFm_ROI";"L"
"11848";"-53.1755";"-56.9092";"48.3223";"L_PFm_ROI";"L"
"11849";"-53.66";"-55.8657";"48.2501";"L_PFm_ROI";"L"
"11850";"-54.1402";"-54.8429";"48.1482";"L_PFm_ROI";"L"
"11851";"-54.6188";"-53.8451";"48.0074";"L_PFm_ROI";"L"
"11852";"-22.134";"-98.3153";"22.4398";"L_V3A_ROI";"L"
"11853";"-22.9656";"-98.1246";"22.8199";"L_V3A_ROI";"L"
"11854";"-23.8006";"-97.8953";"23.211";"L_V3A_ROI";"L"
"11855";"-24.6349";"-97.6248";"23.6326";"L_V3B_ROI";"L"
"11856";"-25.4646";"-97.3132";"24.0979";"L_V3B_ROI";"L"
"11857";"-26.2859";"-96.9615";"24.6168";"L_V3B_ROI";"L"
"11858";"-27.0953";"-96.5715";"25.1962";"L_V3B_ROI";"L"
"11859";"-27.8895";"-96.1453";"25.8408";"L_V3B_ROI";"L"
"11860";"-28.6654";"-95.6851";"26.5528";"L_V3B_ROI";"L"
"11861";"-29.4208";"-95.1931";"27.3321";"L_V3B_ROI";"L"
"11862";"-30.154";"-94.671";"28.1763";"L_V3B_ROI";"L"
"11863";"-30.8638";"-94.1205";"29.0809";"L_IP0_ROI";"L"
"11864";"-31.5501";"-93.5425";"30.0394";"L_IP0_ROI";"L"
"11865";"-32.2137";"-92.9378";"31.0437";"L_IP0_ROI";"L"
"11866";"-32.8561";"-92.3063";"32.0846";"L_IP0_ROI";"L"
"11867";"-33.4795";"-91.6477";"33.1519";"L_IP0_ROI";"L"
"11868";"-34.0866";"-90.9613";"34.2349";"L_IP0_ROI";"L"
"11869";"-34.6805";"-90.2462";"35.3228";"L_IP0_ROI";"L"
"11870";"-35.2643";"-89.5012";"36.405";"L_IP0_ROI";"L"
"11871";"-35.8412";"-88.7255";"37.4712";"L_IP0_ROI";"L"
"11872";"-36.4139";"-87.9184";"38.5117";"L_IP1_ROI";"L"
"11873";"-36.9849";"-87.0794";"39.5177";"L_PGs_ROI";"L"
"11874";"-37.5561";"-86.2087";"40.4813";"L_PGs_ROI";"L"
"11875";"-38.1287";"-85.3068";"41.396";"L_PGs_ROI";"L"
"11876";"-38.7038";"-84.3748";"42.2565";"L_PGs_ROI";"L"
"11877";"-39.2814";"-83.4141";"43.0587";"L_PGs_ROI";"L"
"11878";"-39.8617";"-82.4267";"43.8002";"L_PGs_ROI";"L"
"11879";"-40.444";"-81.4145";"44.4798";"L_PGs_ROI";"L"
"11880";"-41.0278";"-80.3798";"45.0974";"L_PGs_ROI";"L"
"11881";"-41.6121";"-79.3251";"45.6543";"L_PGs_ROI";"L"
"11882";"-42.1961";"-78.2526";"46.1524";"L_PGs_ROI";"L"
"11883";"-42.7788";"-77.1647";"46.5947";"L_PGs_ROI";"L"
"11884";"-43.3593";"-76.0636";"46.9847";"L_PGs_ROI";"L"
"11885";"-43.9368";"-74.9514";"47.3261";"L_PGs_ROI";"L"
"11886";"-44.5107";"-73.8301";"47.623";"L_PFm_ROI";"L"
"11887";"-45.0803";"-72.7015";"47.8796";"L_PFm_ROI";"L"
"11888";"-45.6452";"-71.5675";"48.1";"L_PFm_ROI";"L"
"11889";"-46.2052";"-70.4296";"48.2881";"L_PFm_ROI";"L"
