"Label","x","y","z"
"L_23c_ROI",-5.94615,-30.0308,47.2425
"L_5L_ROI",-11.9717,-45.1408,70.3955
"L_24dd_ROI",-6.35559,-12.9615,55.585
"L_24dv_ROI",-5.32056,2.0859,48.5372
"L_7AL_ROI",-20.0909,-53.4659,71.8123
"L_SCEF_ROI",-6.71014,8.04141,58.7561
"L_6ma_ROI",-15.204,10.1743,69.5604
"L_7Am_ROI",-11.7008,-59.2864,63.563
"L_7PL_ROI",-15.7096,-73.3452,56.7261
"L_7PC_ROI",-33.0094,-53.038,67.5317
"L_LIPv_ROI",-29.7517,-64.1561,62.9781
"L_VIP_ROI",-21.8545,-65.7435,64.9426
"L_MIP_ROI",-24.7673,-77.077,53.1612
"L_1_ROI",-47.13,-28.9824,63.6018
"L_2_ROI",-42.323,-39.518,65.3726
"L_3a_ROI",-45.3284,-16.8127,61.9807
"L_6d_ROI",-33.1583,-9.76269,71.2601
"L_6mp_ROI",-14.588,-9.70881,73.8754
"L_6v_ROI",-58.8547,6.65103,32.2337
"L_p24pr_ROI",-3.00971,1.48038,39.4855
"L_33pr_ROI",-2.3005,14.3322,30.0426
"L_a24pr_ROI",-3.71067,21.3912,31.9944
"L_p32pr_ROI",-5.37103,21.0193,41.7936
"L_a24_ROI",-5.90983,41.2255,-0.828961
"L_d32_ROI",-7.4933,46.8392,25.4507
"L_8BM_ROI",-7.40958,34.8024,46.4829
"L_p32_ROI",-8.47038,50.9573,-1.13474
"L_10r_ROI",-9.37022,51.0853,-8.28686
"L_47m_ROI",-34.0236,43.9676,-21.8372
"L_8Av_ROI",-39.3098,29.5936,53.4256
"L_8Ad_ROI",-24.8022,42.0896,50.2505
"L_9m_ROI",-9.41604,55.1258,22.2088
"L_8BL_ROI",-12.0618,36.6863,54.2559
"L_9p_ROI",-17.6159,54.0256,39.5845
"L_10d_ROI",-14.492,64.4684,7.71641
"L_8C_ROI",-46.7114,29.1732,42.1582
"L_44_ROI",-54.2873,28.4757,7.90116
"L_45_ROI",-49.2744,41.4279,-0.449318
"L_47l_ROI",-41.6195,44.5977,-14.7694
"L_a47r_ROI",-38.5937,56.6588,-12.6421
"L_6r_ROI",-58.143,15.741,17.7684
"L_IFJa_ROI",-51.736,29.5284,25.0934
"L_IFJp_ROI",-52.9064,20.4289,32.3937
"L_IFSp_ROI",-51.5807,37.0051,17.8709
"L_IFSa_ROI",-48.8112,48.1202,9.53649
"L_p9-46v_ROI",-45.2185,44.9354,28.6578
"L_46_ROI",-37.9276,53.5147,30.1759
"L_a9-46v_ROI",-39.5116,61.5268,5.64374
"L_9-46d_ROI",-31.1079,62.1112,22.198
"L_9a_ROI",-19.1264,63.5189,24.194
"L_10v_ROI",-11.2491,51.1684,-14.5332
"L_a10p_ROI",-28.7112,65.2327,-5.46011
"L_10pp_ROI",-18.8377,60.9782,-12.0235
"L_11l_ROI",-26.8965,53.7804,-19.7647
"L_13l_ROI",-24.0785,37.834,-26.5098
"L_OFC_ROI",-13.146,34.8502,-24.6168
"L_47s_ROI",-32.0441,32.3526,-25.9426
"L_LIPd_ROI",-35.7009,-65.257,56.7199
"L_6a_ROI",-27.542,8.2589,67.653
"L_i6-8_ROI",-31.5885,23.7374,60.5102
"L_s6-8_ROI",-18.5555,29.5158,60.8126
"L_43_ROI",-61.2396,3.19618,11.4308
"L_OP4_ROI",-61.953,-9.73664,14.7042
"L_OP1_ROI",-57.1733,-20.244,15.6766
"L_OP2-3_ROI",-50.5104,-10.9681,10.7225
"L_52_ROI",-51.2079,-7.06764,-5.46048
"L_RI_ROI",-53.8032,-30.2787,13.7849
"L_PFcm_ROI",-60.1456,-30.377,20.8591
"L_PoI2_ROI",-45.7003,13.788,-14.1619
"L_TA2_ROI",-54.5072,3.12467,-17.1579
"L_FOP4_ROI",-47.6387,23.6667,1.83835
"L_MI_ROI",-42.8322,21.9309,-11.7528
"L_Pir_ROI",-33.2726,16.9705,-32.711
"L_AVI_ROI",-39.7103,32.4631,-16.2567
"L_AAIC_ROI",-35.9589,23.7719,-26.8958
"L_FOP1_ROI",-55.5269,9.70434,5.75185
"L_FOP3_ROI",-45.5292,14.5183,0.45266
"L_FOP2_ROI",-49.761,3.71351,5.92069
"L_PFt_ROI",-59.8108,-29.2964,43.8859
"L_AIP_ROI",-45.5819,-46.9839,55.7598
"L_EC_ROI",-31.4305,-11.1815,-39.9909
"L_PreS_ROI",-20.897,-42.2926,-21.407
"L_H_ROI",-27.0313,-25.4185,-29.8975
"L_ProS_ROI",-11.1737,-59.7195,-3.60907
"L_PeEc_ROI",-34.9891,-8.67089,-42.7692
"L_STGa_ROI",-52.4768,8.99194,-27.0001
"L_PBelt_ROI",-59.3507,-27.8417,4.87703
"L_A5_ROI",-62.381,-19.3909,-4.91504
"L_PHA1_ROI",-24.5016,-42.7113,-25.8525
"L_PHA3_ROI",-32.5601,-44.2049,-31.031
"L_STSda_ROI",-60.3443,-7.3325,-15.4202
"L_STSdp_ROI",-62.3837,-34.8502,-2.63731
"L_STSvp_ROI",-62.3578,-35.7779,-8.54654
"L_TGd_ROI",-43.0859,12.021,-39.3433
"L_TE1a_ROI",-58.8818,-9.16653,-26.6075
"L_TE1p_ROI",-61.0725,-47.1605,-13.7972
"L_TE2a_ROI",-56.0286,-19.6878,-31.7622
"L_TF_ROI",-44.1348,-23.5201,-38.1076
"L_TE2p_ROI",-51.383,-45.0858,-28.2937
"L_PHT_ROI",-59.0207,-60.2657,-4.83403
"L_PH_ROI",-51.1481,-69.085,-16.1229
"L_TPOJ1_ROI",-61.0354,-50.2445,8.34838
"L_TPOJ2_ROI",-56.1119,-66.9743,8.61575
"L_TPOJ3_ROI",-49.4314,-82.5027,16.9007
"L_DVT_ROI",-9.52752,-79.4738,31.4844
"L_PGp_ROI",-41.0485,-92.9277,23.2634
"L_IP2_ROI",-46.5786,-58.0397,52.274
"L_IP1_ROI",-34.4063,-77.9773,49.4846
"L_IP0_ROI",-31.0149,-90.7699,34.6307
"L_PFop_ROI",-64.4104,-21.3344,27.659
"L_PF_ROI",-63.2192,-37.6956,34.0953
"L_PFm_ROI",-55.7298,-57.6127,44.1644
"L_PGi_ROI",-55.0762,-67.3183,26.5466
"L_PGs_ROI",-46.1848,-80.2416,38.9563
"L_V6A_ROI",-15.3345,-87.7141,39.1673
"L_VMV1_ROI",-18.4851,-59.7753,-17.5969
"L_VMV3_ROI",-28.7393,-65.4883,-24.1191
"L_PHA2_ROI",-28.5519,-43.7522,-28.877
"L_V4t_ROI",-45.7528,-87.5132,-4.24324
"L_FST_ROI",-53.3283,-73.4349,-4.61785
"L_V3CD_ROI",-35.3756,-98.2568,15.6044
"L_LO3_ROI",-44.2124,-91.5541,8.78949
"L_VMV2_ROI",-23.0531,-61.346,-20.8815
"L_31pd_ROI",-5.56705,-55.0201,40.1963
"L_31a_ROI",-5.22423,-41.1861,43.6547
"L_VVC_ROI",-36.1331,-57.368,-28.7639
"L_25_ROI",-5.50919,25.0317,-15.6258
"L_s32_ROI",-6.46562,35.7188,-12.715
"L_pOFC_ROI",-15.551,19.698,-27.303
"L_PoI1_ROI",-48.4289,5.4853,-11.5323
"L_Ig_ROI",-47.1902,-4.79912,4.62256
"L_FOP5_ROI",-43.4304,37.3281,-5.61938
"L_p10p_ROI",-23.8207,67.3817,4.47372
"L_p47r_ROI",-45.2432,55.0586,-0.560228
"L_TGv_ROI",-43.6133,0.00778459,-43.223
"L_MBelt_ROI",-54.6114,-10.6095,-5.01537
"L_LBelt_ROI",-54.4146,-26.5359,5.57559
"L_A4_ROI",-62.171,-27.4951,2.73865
"L_STSva_ROI",-60.3921,-9.42576,-19.5736
"L_TE1m_ROI",-61.5627,-30.729,-19.8762
"L_PI_ROI",-49.5339,10.4486,-21.698
"L_a32pr_ROI",-5.90528,36.6333,28.8867
"L_p24_ROI",-5.10488,39.0925,13.8089
